ProductID,ProductName,Category,Price
1,Mathematics Book,Books,40848.07
2,nmeeS Weroa,Clothing,28569.2
3,Doll,Toys,20741.56
4,T-Shirt,Clothing,15175.19
5,Tennis Racket,Sports,1405.66
6,Tennis Racket,Sports,26535.25
7,Dumbbell,Sports,46184.57
8,Bluetooth Speaker,Electronics,10723.91
9,Bluetooth Speaker,,23821.46
10,Ceiling Fan,Home,43827.49
11,Notebook,Stationery,30137.38
12,oStaSf e,Home,36204.09
13,Vacuum Cleaner,Home,1319.77
14,Jacket,Clothing,5806.6
15,Tennis Racket,Sports,30944.48
16,Mixer Grinder,Home,35572.66
17,Mixer Grinder,Home,41317.03
18,Football,,42055.24
19,LED TV,Electronics,13457.07
20,NCERT Science,Books,48399.9
21,Sketch Book,Stationery,12472.13
22,Vacuum Cleaner,Home,20428.93
23,Dining Table,Home,2361.3
24,Mathematics Book,Books,27354.74
25,Lego Set,Toys,34161.88
26,Sofa Set,Home,13256.14
27,Mobile Phone,Electronics,25030.43
28,Bluetooth Speaker,Electronics,35489.45
29,Sketch Book,Stationery,5616.35
30,Cricket Bat,,42281.37
31,Football,Sports,34215.2
32,Car Toy,Toys,62.09
33,Bluetooth Speaker,Electronics,44640.44
34,Notebook,Stationery,27059.48
35,Smart Watch,Electronics,12003.62
36,Notebook,Stationery,44132.46
37,Smart Watch,Electronics,18296.82
38,Bluetooth Speaker,Electronics,8864.3
39,Sketch Book,Stationery,2885.04
40,Bluetooth Speaker,Electronics,20371.51
41,Markers,Stationery,17736.01
42,Vacuum Cleaner,Home,8553.54
43,Puzzle,Toys,20908.94
44,Smart Watch,Electronics,21726.57
45,rhB eeotolSetpuak,Electronics,25061.34
46,Puzzle,Toys,24926.46
47,Dumbbell,Sports,47916.55
48,Dumbbell,Sports,14273.75
49,Tennis Racket,Sports,26567.55
50,Smart Watch,Electronics,13863.71
51,Sketch Book,,21960.51
52,Notebook,Stationery,43119.18
53,Smart Watch,Electronics,1325.96
54,Jacket,Clothing,16779.58
55,Laptop,Electronics,4948.42
56,Ceiling Fan,Home,20729.69
57,Jacket,Clothing,32153.26
58,Ceiling Fan,Home,29129.23
59,Markers,Stationery,35647.59
60,Women Saree,Clothing,12350.46
61, StnefKie,Kitchen,12693.0
62,Smart Watch,,16003.05
63,Bluetooth Speaker,Electronics,9745.46
64,Non-stick Pan,Kitchen,16972.51
65,Drawing Kit,Stationery,23015.68
66,Yoga Mat,Sports,13317.91
67,Puzzle,Toys,1028.76
68,Fiction Novel,Books,352.4
69,Competitive Guide,,10342.59
70,Pen Set,Stationery,18514.16
71,Jacket,Clothing,36907.87
72,Fiction Novel,Books,9786.75
73,Yoga Mat,,38795.77
74,Women Saree,Clothing,35456.17
75,Men Kurta,Clothing,49676.67
76,Ceiling Fan,Home,25579.61
77,Sofa Set,Home,49760.45
78,Mixer Grinder,Home,1998.47
79,Action Figure,Toys,48381.71
80,Bluetooth Speaker,Electronics,22228.75
81,Football,Sports,15269.43
82,Lego Set,Toys,22848.89
83,Men Kurta,Clothing,10468.13
84,Women Saree,Clothing,44002.23
85,Smart Watch,Electronics,38063.99
86,Yoga Mat,Sports,38764.88
87,Mobile Phone,Electronics,18269.37
88,Competitive Guide,Books,30155.17
89,Cricket Bat,Sports,13660.86
90,Fiction Novel,Books,22792.72
91,Sketch Book,Stationery,39411.22
92,-cntkiso nPaN,Kitchen,35314.62
93,Sketch Book,Stationery,4142.31
94,Smart Watch,Electronics,2139.36
95,Car Toy,Toys,5543.77
96,Sketch Book,Stationery,24853.33
